date,fuel_price_pkr,replacement_cost_index,hormuz_blockage_active
2026-01-01,266.0,100.1,False
2026-01-02,271.07,100.2,False
2026-01-03,271.07,100.3,False
2026-01-04,271.07,100.4,False
2026-01-05,271.07,100.5,False
2026-01-06,271.07,100.6,False
2026-01-07,271.07,100.7,False
2026-01-08,271.07,100.8,False
2026-01-09,279.19,100.9,False
2026-01-10,279.19,101.0,False
2026-01-11,279.19,101.1,False
2026-01-12,279.19,101.2,False
2026-01-13,279.19,101.3,False
2026-01-14,279.19,101.4,False
2026-01-15,279.19,101.5,False
2026-01-16,284.38,101.6,False
2026-01-17,284.38,101.7,False
2026-01-18,284.38,101.8,False
2026-01-19,284.38,101.9,False
2026-01-20,284.38,102.0,False
2026-01-21,284.38,102.1,False
2026-01-22,284.38,102.2,False
2026-01-23,284.38,102.3,False
2026-01-24,284.38,102.4,False
2026-01-25,284.38,102.5,False
2026-01-26,284.38,102.6,False
2026-01-27,284.38,102.7,False
2026-01-28,284.38,102.8,False
2026-01-29,284.38,102.9,False
2026-01-30,292.5,103.0,False
2026-01-31,292.5,103.1,False
2026-02-01,292.5,103.2,False
2026-02-02,292.5,103.3,False
2026-02-03,292.5,103.4,False
2026-02-04,292.5,103.5,False
2026-02-05,292.5,103.6,False
2026-02-06,292.5,103.7,False
2026-02-07,292.5,103.8,False
2026-02-08,292.5,103.9,False
2026-02-09,292.5,104.0,False
2026-02-10,292.5,104.1,False
2026-02-11,292.5,104.2,False
2026-02-12,292.5,104.3,False
2026-02-13,302.45,104.4,False
2026-02-14,302.45,104.5,False
2026-02-15,302.45,104.6,False
2026-02-16,302.45,104.7,False
2026-02-17,302.45,104.8,False
2026-02-18,302.45,104.9,False
2026-02-19,302.45,105.0,False
2026-02-20,309.66,105.1,False
2026-02-21,309.66,105.2,False
2026-02-22,309.66,105.3,False
2026-02-23,309.66,105.4,False
2026-02-24,309.66,105.5,False
2026-02-25,309.66,105.6,False
2026-02-26,309.66,105.7,False
2026-02-27,309.66,105.8,False
2026-02-28,309.66,105.9,False
2026-03-01,309.66,106.97,True
2026-03-02,309.66,108.14,True
2026-03-03,309.66,109.42,True
2026-03-04,309.66,110.78,True
2026-03-05,309.66,111.59,True
2026-03-06,300.02,112.63,True
2026-03-07,300.02,113.97,True
2026-03-08,300.02,115.46,True
2026-03-09,300.02,116.85,True
2026-03-10,300.02,117.72,True
2026-03-11,300.02,118.42,True
2026-03-12,300.02,119.41,True
2026-03-13,333.7,120.65,True
2026-03-14,333.7,121.64,True
2026-03-15,333.7,122.63,True
2026-03-16,333.7,123.96,True
2026-03-17,333.7,124.82,True
2026-03-18,333.7,126.18,True
2026-03-19,333.7,127.09,True
2026-03-20,393.53,127.92,True
2026-03-21,393.53,128.87,True
2026-03-22,393.53,130.14,True
2026-03-23,393.53,130.76,True
2026-03-24,393.53,131.46,True
2026-03-25,393.53,132.91,True
2026-03-26,393.53,133.59,True
2026-03-27,445.71,134.65,True
2026-03-28,445.71,135.73,True
2026-03-29,445.71,136.72,True
2026-03-30,445.71,137.87,True
2026-03-31,445.71,138.6,True
2026-04-01,445.71,139.65,True
2026-04-02,445.71,140.52,True
2026-04-03,467.84,141.68,True
2026-04-04,467.84,142.32,True
2026-04-05,467.84,143.4,True
2026-04-06,467.84,144.08,True
