retailer_id,credit_score,base_loyalty,avg_basket_size_pkr
r_0001,35.37,0.33,11384.2801024395
r_0002,24.86,0.4,27554.76819615118
r_0003,41.6,0.49,26517.151410590475
r_0004,16.0,0.98,22561.060737001568
r_0005,55.03,0.53,26001.823044176897
r_0006,11.09,0.64,17820.625372709215
r_0007,50.99,0.44,9811.57926621539
r_0008,17.73,0.73,15393.183568219582
r_0009,19.83,0.5,23825.87110991845
r_0010,37.62,0.44,23893.750238423207
r_0011,54.35,0.66,22486.929904894183
r_0012,8.48,0.3,28979.794767781783
r_0013,35.79,0.31,16472.160249741166
r_0014,27.33,0.45,22322.279257547532
r_0015,13.44,0.33,29320.62256408842
r_0016,35.33,0.38,21111.117802118795
r_0017,13.28,0.54,11829.338470990962
r_0018,32.64,0.86,13619.472037317253
r_0019,16.58,0.7,33370.45351453828
r_0020,20.77,0.66,44189.217108016965
r_0021,26.34,0.51,39641.88553999846
r_0022,39.0,0.95,24737.558998023233
r_0023,15.36,0.58,12069.461507756445
r_0024,30.55,0.36,21956.62557802967
r_0025,20.33,0.73,48104.33448058019
r_0026,18.39,0.38,30008.74716248474
r_0027,36.78,0.54,19855.99466297944
r_0028,20.21,0.66,30161.23038114536
r_0029,18.63,0.91,11676.136198043961
r_0030,28.35,0.65,15555.41846225908
r_0031,10.04,0.79,12809.0125100146
r_0032,20.77,0.99,27855.505481452492
r_0033,30.96,0.39,31478.23865918401
r_0034,4.44,0.49,20395.85527510228
r_0035,12.46,0.58,14236.084206190939
r_0036,21.1,0.6,21810.034765974924
r_0037,35.82,0.59,17269.7216706742
r_0038,65.22,0.94,14793.07800015752
r_0039,16.23,0.8,26094.94359773065
r_0040,6.94,0.73,15078.179157393193
r_0041,7.68,0.52,10065.058331313514
r_0042,17.44,0.88,11247.96795188367
r_0043,54.35,0.97,9881.007572772274
r_0044,6.17,0.87,24928.22459275996
r_0045,23.57,0.3,23746.791820302737
r_0046,31.33,0.75,23161.80922719867
r_0047,15.26,0.34,29550.79205125401
r_0048,38.69,0.48,39973.79638511755
r_0049,48.46,0.34,16380.825199000092
r_0050,9.59,0.72,26990.45971398227
r_0051,36.62,0.78,9998.51885290946
r_0052,29.84,0.38,43886.18570557568
r_0053,22.38,0.57,11820.426590680201
r_0054,16.43,0.62,15443.746459410459
r_0055,46.14,0.56,16336.30553063817
r_0056,9.83,0.38,10268.790252072633
r_0057,17.92,0.59,22388.165866433992
r_0058,34.3,0.83,24512.83002862203
r_0059,27.47,0.35,20036.144861439156
r_0060,44.33,0.36,10197.27884710216
r_0061,13.27,0.55,59378.83432908087
r_0062,40.06,0.96,28987.367141519928
r_0063,32.26,0.77,82216.47788353899
r_0064,29.24,0.78,14727.111297229652
r_0065,11.36,0.55,35558.734956323075
r_0066,34.16,0.72,32520.85789006465
r_0067,17.0,0.31,19047.905908533856
r_0068,80.15,0.75,44601.619567862064
r_0069,13.18,0.94,17985.0294965642
r_0070,12.55,0.73,18389.85237834927
r_0071,33.7,0.91,3882.696067348994
r_0072,3.44,0.81,27024.902287611316
r_0073,15.94,0.38,11353.087861141848
r_0074,26.15,0.93,16724.657427939437
r_0075,24.91,0.35,13185.72627406379
r_0076,6.86,0.67,18340.81586443433
r_0077,45.95,0.4,27499.967865005277
r_0078,54.15,0.31,22149.5128393891
r_0079,26.06,0.6,31408.085704277993
r_0080,6.75,0.51,41473.699892527235
r_0081,4.68,0.64,18317.31436456256
r_0082,12.71,0.7,17339.048557023223
r_0083,32.66,0.33,35555.9868254178
r_0084,11.91,0.39,36994.467165233786
r_0085,10.78,0.69,31897.89930355811
r_0086,32.46,0.54,13683.015478909545
r_0087,21.94,0.81,27209.665345547186
r_0088,30.48,0.76,23265.69651206094
r_0089,40.37,0.89,37281.946136706894
r_0090,18.41,0.78,16540.44636527087
r_0091,23.45,0.6,9572.932409868103
r_0092,17.51,0.77,31104.830267974903
r_0093,26.73,0.49,6129.17728318849
r_0094,23.87,0.51,15279.132660479981
r_0095,32.58,0.85,13205.67901340218
r_0096,44.35,0.61,13161.25630919097
r_0097,38.56,0.86,15145.886630322464
r_0098,9.62,0.88,40484.99881604048
r_0099,20.9,0.9,33199.088825177554
r_0100,16.62,0.94,19421.474367180912
r_0101,22.72,0.6,38824.692814423375
r_0102,47.59,0.52,12950.004600995046
r_0103,11.59,0.71,12098.760727520217
r_0104,17.19,0.56,33921.2971160166
r_0105,24.09,0.72,29431.523731600977
r_0106,19.66,0.79,17498.462505236508
r_0107,15.45,0.78,12484.829586369746
r_0108,30.25,0.56,45700.564884587126
r_0109,26.29,0.42,9320.287217434498
r_0110,17.84,0.6,16330.454737450737
r_0111,7.14,0.4,24693.32550819004
r_0112,36.8,0.92,54235.036269202225
r_0113,16.5,0.54,26676.814758421235
r_0114,64.64,0.41,28005.39156480278
r_0115,50.31,0.32,16569.321298503357
r_0116,40.86,0.75,29267.70921313426
r_0117,37.85,0.75,23217.339260913846
r_0118,48.08,0.54,9954.377964265746
r_0119,45.02,0.35,32743.751427300886
r_0120,31.49,0.59,35781.87269766247
r_0121,34.58,0.52,32914.95933382584
r_0122,53.87,0.77,22396.589299459658
r_0123,30.62,0.72,13655.689929713728
r_0124,14.56,0.56,6942.4369289001315
r_0125,45.19,0.45,23825.859482801014
r_0126,35.99,0.99,37834.286845037364
r_0127,6.19,0.62,36234.4728932222
r_0128,23.29,0.78,33124.76343562298
r_0129,19.21,0.4,21224.140395265982
r_0130,51.99,0.64,37938.89381953085
r_0131,22.02,0.32,34964.23328854316
r_0132,13.77,0.65,17830.81144004737
r_0133,47.2,0.97,30893.43585085896
r_0134,15.88,0.57,16848.559243624502
r_0135,5.97,0.33,28854.236756776685
r_0136,34.08,0.32,11503.903342516971
r_0137,30.66,0.57,11954.871075238854
r_0138,27.9,0.41,37387.94194281755
r_0139,32.88,0.32,35199.25023095528
r_0140,40.65,0.83,30236.520785595112
r_0141,32.35,0.62,23016.90927183084
r_0142,18.13,0.5,6663.251012766907
r_0143,11.03,0.93,21217.08496966461
r_0144,6.26,0.38,27641.99860217029
r_0145,38.94,0.97,16858.889715600562
r_0146,22.08,0.52,15425.124246134263
r_0147,17.06,0.92,45352.0289378826
r_0148,6.76,0.72,21372.39690793896
r_0149,20.64,0.88,27650.458381924607
r_0150,35.88,0.99,32437.347248975064
r_0151,31.69,0.5,13350.130802860327
r_0152,13.66,0.97,24260.473774746835
r_0153,21.71,0.57,42609.062622042155
r_0154,13.64,0.57,54699.59539871273
r_0155,6.37,0.54,22470.715308511815
r_0156,57.86,0.68,19555.820137018854
r_0157,16.74,0.41,25197.801662237405
r_0158,48.58,0.69,24879.974539329847
r_0159,22.31,0.68,44063.14655631997
r_0160,37.34,0.83,13383.851609066045
r_0161,38.66,0.88,19150.104603487674
r_0162,29.1,0.61,12599.71327290186
r_0163,35.85,0.51,13279.178445873415
r_0164,36.88,0.48,26589.907555571775
r_0165,43.39,0.44,33021.98797427264
r_0166,5.93,0.34,15919.565290112858
r_0167,15.37,0.54,32404.331933281523
r_0168,69.09,0.49,38399.10106614444
r_0169,4.93,0.98,57950.9938770305
r_0170,18.59,0.69,22808.154954155772
r_0171,27.16,0.54,15996.38017043196
r_0172,32.19,0.71,13343.224864196894
r_0173,48.21,0.4,12696.776242363068
r_0174,31.97,0.61,41146.343762590244
r_0175,49.16,0.74,10326.33108869856
r_0176,18.42,0.64,40492.58876229124
r_0177,2.94,0.58,14268.070468329917
r_0178,43.83,1.0,15637.02691484644
r_0179,22.02,0.92,20419.023554799747
r_0180,12.73,0.74,15493.451429533137
r_0181,56.23,0.7,35101.174747364756
r_0182,13.52,0.73,54539.03571906172
r_0183,18.93,0.44,15855.693421712365
r_0184,27.89,0.58,17745.390666456955
r_0185,25.85,0.33,20299.25766953499
r_0186,17.14,0.63,28869.137062306247
r_0187,39.03,0.68,20399.34069672534
r_0188,13.88,0.46,44074.14928402965
r_0189,46.59,0.97,39077.8839583056
r_0190,61.58,0.94,12176.569157299558
r_0191,30.74,0.81,28580.618229342155
r_0192,31.17,0.67,47106.657520897854
r_0193,13.47,0.91,17199.05169236127
r_0194,72.39,0.39,19012.797120843603
r_0195,11.91,0.85,16915.42998237517
r_0196,28.54,0.39,17093.647670860017
r_0197,51.43,0.86,9564.123333034535
r_0198,15.65,0.49,11337.176090484387
r_0199,26.06,0.91,22896.44321526706
r_0200,13.98,0.96,46948.14563791598
r_0201,38.81,0.4,16208.962252989668
r_0202,46.42,0.62,15972.461283493145
r_0203,12.85,0.99,51573.359800329
r_0204,5.52,0.64,12655.804834399149
r_0205,1.73,0.9,9598.656489452525
r_0206,15.92,0.71,14555.763076815725
r_0207,26.67,0.56,15813.317766684915
r_0208,52.97,0.5,9193.697350327626
r_0209,30.71,0.44,20660.504196698304
r_0210,25.05,0.83,35391.36613668197
r_0211,40.36,0.57,11579.85944299369
r_0212,36.96,0.66,23012.414484223686
r_0213,22.08,0.64,26848.569950064786
r_0214,9.07,0.7,21127.01563530872
r_0215,42.63,0.91,24169.488113172032
r_0216,30.77,0.99,24310.49991567467
r_0217,8.69,0.59,14671.117168958996
r_0218,31.99,0.88,46596.992807610695
r_0219,17.25,0.84,41104.727452222876
r_0220,52.36,0.7,39932.89497257266
r_0221,14.41,0.97,36564.67430115855
r_0222,43.69,0.44,10021.722492295125
r_0223,56.2,0.38,34997.4747863053
r_0224,20.39,0.9,30570.803967635147
r_0225,26.53,0.61,10216.283955783767
r_0226,34.3,0.89,19782.33847539188
r_0227,30.82,0.93,25295.8776995336
r_0228,7.85,0.34,50622.86086827746
r_0229,20.42,0.92,31645.838342144772
r_0230,46.76,0.61,14295.74381113611
r_0231,22.44,0.66,51415.46230327412
r_0232,56.43,0.74,22513.938411735824
r_0233,45.84,0.95,19381.599809517742
r_0234,22.87,0.31,18703.03149443078
r_0235,19.42,0.63,9781.248183288206
r_0236,11.4,0.78,20850.125535412775
r_0237,11.89,0.81,28247.00261023656
r_0238,22.43,0.78,18166.024381971656
r_0239,17.48,0.39,27179.71599545255
r_0240,23.81,0.51,14296.9922869671
r_0241,43.79,0.55,20527.814345726038
r_0242,30.51,0.86,25803.622378052074
r_0243,41.1,0.5,24217.49145682238
r_0244,23.84,0.45,9870.121625926187
r_0245,30.56,0.97,17685.44076741777
r_0246,22.43,0.31,50956.696620498886
r_0247,22.83,1.0,17219.142204534786
r_0248,60.14,0.77,22201.247768205772
r_0249,18.61,0.88,21091.431031467677
r_0250,33.22,0.51,48248.493305947624
r_0251,15.36,0.31,41989.88609888235
r_0252,58.96,0.82,32983.59184276507
r_0253,13.6,0.88,13539.665523446032
r_0254,14.53,0.82,26359.697810154317
r_0255,46.96,0.4,29259.83020364323
r_0256,34.71,0.83,15532.619604813
r_0257,22.44,0.84,14253.267349180041
r_0258,38.07,0.76,51663.51335869237
r_0259,25.27,0.84,18950.741592079667
r_0260,19.18,0.89,49389.26685637488
r_0261,21.78,0.73,36262.77013188586
r_0262,54.7,0.36,27009.3502660859
r_0263,43.2,0.64,27619.179455587368
r_0264,33.75,0.35,10935.724869348525
r_0265,28.01,0.59,24425.608507756868
r_0266,20.47,0.58,44734.94338830113
r_0267,19.78,0.35,30966.763142196818
r_0268,42.01,0.54,23793.514999842522
r_0269,9.46,0.38,51842.65774330797
r_0270,6.83,0.87,20080.001302467797
r_0271,37.34,0.96,16158.833781574662
r_0272,18.15,0.35,23787.51061956836
r_0273,46.88,0.97,32313.28367826513
r_0274,44.18,0.67,9331.051160724146
r_0275,27.31,0.51,25398.218728422074
r_0276,44.17,0.35,33030.03267934721
r_0277,45.15,0.65,19248.322390090965
r_0278,51.43,0.86,38310.61853743663
r_0279,19.85,0.79,30351.260604867224
r_0280,5.62,0.34,64259.93102243336
r_0281,1.31,0.35,15133.990979456543
r_0282,44.22,0.58,33368.07639182775
r_0283,25.63,0.51,13244.50523425466
r_0284,12.01,0.46,9821.378559742912
r_0285,29.07,0.5,7960.4003961007975
r_0286,24.84,0.86,28829.718060296855
r_0287,27.31,0.95,24152.035879884657
r_0288,23.1,0.58,17334.85461543164
r_0289,39.78,0.93,9074.720257382894
r_0290,12.28,0.53,15596.576077411379
r_0291,24.43,0.63,22071.58919844802
r_0292,16.91,0.46,32747.59107500923
r_0293,36.3,0.75,21845.104495603184
r_0294,15.94,0.99,24984.981200651793
r_0295,9.8,0.72,18250.245473317755
r_0296,32.59,0.55,52818.25250099366
r_0297,30.65,0.75,13238.37619166972
r_0298,7.67,0.39,15527.70134521748
r_0299,47.29,0.92,17219.899866361728
r_0300,31.57,0.65,28892.929754250392
r_0301,20.63,0.61,13102.654275380453
r_0302,3.87,0.71,23573.047782567795
r_0303,41.69,0.74,23919.637941217283
r_0304,30.53,0.35,15565.637115846128
r_0305,36.04,0.78,25977.595409080583
r_0306,31.97,0.47,13307.632883827488
r_0307,6.04,0.8,12600.136532192144
r_0308,21.77,0.88,23151.22278627052
r_0309,42.34,0.86,9605.798516610786
r_0310,8.58,0.69,7537.144296352463
r_0311,24.11,0.66,28750.678627980156
r_0312,10.68,0.4,37215.66193054279
r_0313,39.4,0.84,17441.33845260485
r_0314,25.57,0.49,15771.576984129013
r_0315,38.41,0.65,36416.149142079885
r_0316,36.61,0.5,12422.080965385276
r_0317,58.16,0.39,11140.180181578882
r_0318,56.22,0.74,31376.616965472596
r_0319,8.84,0.34,22126.23070151058
r_0320,34.46,0.82,37512.8331085963
r_0321,60.96,0.52,7554.261050646433
r_0322,31.41,0.3,10934.333765288518
r_0323,64.79,0.66,22184.875012481778
r_0324,22.65,0.33,27141.979008400966
r_0325,45.32,0.49,33640.92274970926
r_0326,59.96,0.79,24038.42532953047
r_0327,13.62,0.34,23916.58852447985
r_0328,23.61,0.89,18129.56352071794
r_0329,60.47,0.3,48798.382824614084
r_0330,29.2,0.47,12688.96849157509
r_0331,40.04,0.82,26357.55094453332
r_0332,45.08,0.52,13441.410852418068
r_0333,18.48,0.37,28778.655788424454
r_0334,41.02,0.55,13114.728824016001
r_0335,34.97,0.49,31949.373448896855
r_0336,17.56,0.89,23296.361613006084
r_0337,20.53,0.52,52697.30457459736
r_0338,60.86,0.85,19139.129367180107
r_0339,14.17,0.92,27241.124976944648
r_0340,43.59,0.6,14915.73328149712
r_0341,30.82,0.94,19073.467206542195
r_0342,45.5,0.56,23222.449478588922
r_0343,42.75,0.97,10263.919247977838
r_0344,27.82,0.36,10842.057170963575
r_0345,18.52,0.78,29730.527234285415
r_0346,55.53,0.65,20474.93203361424
r_0347,50.32,0.57,16375.420400321722
r_0348,32.18,0.74,15237.380172803076
r_0349,29.4,0.79,15533.520832555514
r_0350,12.54,0.3,23301.55458010114
r_0351,44.44,0.42,27515.862404169846
r_0352,57.58,0.8,7738.370271593246
r_0353,12.38,0.77,44641.40311661099
r_0354,14.17,0.98,43081.5616869505
r_0355,18.73,0.83,6868.304919933271
r_0356,19.13,0.97,37909.739925062204
r_0357,27.5,0.79,37332.1224110777
r_0358,25.95,0.51,22031.372672524678
r_0359,11.6,0.37,11515.113731945628
r_0360,58.79,0.85,36593.065924749375
r_0361,14.18,0.75,19523.70147728207
r_0362,26.71,0.33,28982.26649951448
r_0363,16.93,0.55,66809.50474340556
r_0364,50.51,0.97,24982.188134803106
r_0365,21.52,0.65,13926.623601277859
r_0366,30.27,0.6,18622.661951083785
r_0367,60.43,0.62,14842.906003359763
r_0368,22.64,0.45,27357.468961064347
r_0369,33.0,0.56,14720.056353305492
r_0370,15.53,0.56,17388.672871525316
r_0371,26.4,0.34,11588.688972354694
r_0372,38.71,0.84,20618.757469422657
r_0373,12.2,0.59,24061.718116706004
r_0374,23.07,0.88,5753.7435633398745
r_0375,33.74,0.9,25079.016531993773
r_0376,7.24,0.45,21528.86527173032
r_0377,37.82,0.76,15025.499833247126
r_0378,31.94,0.63,60737.371444405595
r_0379,19.73,0.92,35569.302794278854
r_0380,28.72,0.45,12731.044735064044
r_0381,60.08,0.77,33493.89424256545
r_0382,9.71,0.73,41037.806805732274
r_0383,27.5,0.51,23529.50539488924
r_0384,50.46,0.4,26389.48774805603
r_0385,15.95,0.76,26086.503008942003
r_0386,21.44,0.82,7762.751076662946
r_0387,46.32,0.52,20061.64779725516
r_0388,27.81,0.75,19546.344757522944
r_0389,18.5,0.58,45029.712033364776
r_0390,11.46,0.8,26026.328305596315
r_0391,42.29,0.44,18981.01444695059
