transaction_id,date,retailer_id,order_value_pkr,delivery_distance_km,is_default
txn_1,2026-01-01,r_0003,22997.83,22.2,0
txn_2,2026-01-01,r_0036,17503.68,24.5,1
txn_3,2026-01-01,r_0048,42524.22,17.8,0
txn_4,2026-01-01,r_0062,24352.24,2.4,0
txn_5,2026-01-01,r_0067,22664.65,5.1,0
txn_6,2026-01-01,r_0072,27824.3,11.0,1
txn_7,2026-01-01,r_0073,9133.8,20.1,0
txn_8,2026-01-01,r_0075,12646.08,24.4,0
txn_9,2026-01-01,r_0095,14539.29,3.2,1
txn_10,2026-01-01,r_0111,23625.69,18.0,1
txn_11,2026-01-01,r_0154,44637.91,22.5,0
txn_12,2026-01-01,r_0161,22820.43,17.5,1
txn_13,2026-01-01,r_0178,16300.02,21.5,1
txn_14,2026-01-01,r_0179,19122.98,13.0,0
txn_15,2026-01-01,r_0183,14324.61,2.6,1
txn_16,2026-01-01,r_0191,29459.54,15.0,0
txn_17,2026-01-01,r_0193,17893.29,9.8,1
txn_18,2026-01-01,r_0207,14028.89,17.2,1
txn_19,2026-01-01,r_0210,32893.17,17.3,0
txn_20,2026-01-01,r_0214,24662.81,16.9,0
txn_21,2026-01-01,r_0215,26382.83,19.9,0
txn_22,2026-01-01,r_0216,26373.36,10.2,1
txn_23,2026-01-01,r_0218,53142.02,24.0,0
txn_24,2026-01-01,r_0221,34809.26,16.0,0
txn_25,2026-01-01,r_0224,25638.45,6.1,1
txn_26,2026-01-01,r_0250,47149.08,16.2,1
txn_27,2026-01-01,r_0253,11416.89,13.0,0
txn_28,2026-01-01,r_0256,13081.47,15.5,1
txn_29,2026-01-01,r_0261,39008.74,7.8,0
txn_30,2026-01-01,r_0276,27175.54,19.6,0
txn_31,2026-01-01,r_0286,34241.88,10.7,0
txn_32,2026-01-01,r_0287,24209.34,5.7,1
txn_33,2026-01-01,r_0300,33983.91,16.9,0
txn_34,2026-01-01,r_0308,20027.3,18.9,0
txn_35,2026-01-01,r_0310,7824.25,22.1,0
txn_36,2026-01-01,r_0315,42359.53,11.1,0
txn_37,2026-01-01,r_0326,25289.32,21.1,0
txn_38,2026-01-01,r_0335,32157.47,15.4,0
txn_39,2026-01-01,r_0341,15915.91,20.7,0
txn_40,2026-01-01,r_0343,10854.94,10.8,0
txn_41,2026-01-01,r_0369,16272.68,14.0,0
txn_42,2026-01-01,r_0372,17842.37,6.2,0
txn_43,2026-01-01,r_0375,25196.46,13.1,0
txn_44,2026-01-01,r_0380,13107.2,15.0,1
txn_45,2026-01-01,r_0384,21576.74,6.3,1
txn_46,2026-01-01,r_0387,22807.41,8.8,0
txn_47,2026-01-01,r_0388,16629.6,4.8,1
txn_48,2026-01-01,r_0399,23796.91,11.4,0
txn_49,2026-01-01,r_0402,17408.61,4.3,1
txn_50,2026-01-01,r_0409,11813.36,17.6,1
txn_51,2026-01-01,r_0413,17973.88,20.0,0
txn_52,2026-01-01,r_0431,17775.43,11.6,0
txn_53,2026-01-01,r_0459,14142.8,15.0,1
txn_54,2026-01-01,r_0473,29440.38,18.9,0
txn_55,2026-01-01,r_0474,16121.48,6.0,0
txn_56,2026-01-01,r_0476,17853.82,11.4,0
txn_57,2026-01-01,r_0480,17350.25,22.5,0
txn_58,2026-01-01,r_0496,35125.33,13.9,1
txn_59,2026-01-02,r_0001,12153.3,20.4,0
txn_60,2026-01-02,r_0003,30613.22,12.5,1
txn_61,2026-01-02,r_0062,26864.83,20.6,1
txn_62,2026-01-02,r_0089,40890.51,17.6,0
txn_63,2026-01-02,r_0093,6069.05,21.5,0
txn_64,2026-01-02,r_0106,18695.45,18.0,0
txn_65,2026-01-02,r_0113,28588.61,16.5,0
txn_66,2026-01-02,r_0121,39179.06,10.5,0
txn_67,2026-01-02,r_0132,18511.0,11.5,0
txn_68,2026-01-02,r_0149,26751.21,7.1,1
txn_69,2026-01-02,r_0150,36899.16,19.1,0
txn_70,2026-01-02,r_0152,26434.5,23.4,1
txn_71,2026-01-02,r_0160,16030.27,7.4,1
txn_72,2026-01-02,r_0161,15618.5,11.0,1
txn_73,2026-01-02,r_0169,57040.78,24.7,0
txn_74,2026-01-02,r_0180,13849.62,20.8,1
txn_75,2026-01-02,r_0183,14214.09,7.4,1
txn_76,2026-01-02,r_0184,18139.69,8.7,1
txn_77,2026-01-02,r_0191,23553.02,8.8,0
txn_78,2026-01-02,r_0199,20058.46,20.9,0
txn_79,2026-01-02,r_0207,17517.63,23.5,0
txn_80,2026-01-02,r_0227,24420.81,2.9,0
txn_81,2026-01-02,r_0232,21543.3,23.8,1
txn_82,2026-01-02,r_0233,16347.86,24.6,0
txn_83,2026-01-02,r_0245,16367.54,16.6,1
txn_84,2026-01-02,r_0247,19384.51,10.8,0
txn_85,2026-01-02,r_0265,22628.87,3.3,0
txn_86,2026-01-02,r_0274,7924.85,9.1,0
txn_87,2026-01-02,r_0295,17995.01,7.2,1
txn_88,2026-01-02,r_0346,24383.87,7.6,1
txn_89,2026-01-02,r_0381,34294.33,21.7,0
txn_90,2026-01-02,r_0389,38208.67,9.0,0
txn_91,2026-01-02,r_0412,56513.98,12.1,0
txn_92,2026-01-02,r_0421,25326.63,23.2,0
txn_93,2026-01-02,r_0422,35153.33,13.2,0
txn_94,2026-01-02,r_0423,30309.43,16.1,0
txn_95,2026-01-02,r_0427,53622.08,7.5,1
txn_96,2026-01-02,r_0431,17602.85,2.8,0
txn_97,2026-01-02,r_0435,51522.65,8.0,0
txn_98,2026-01-02,r_0437,26525.68,15.1,0
txn_99,2026-01-02,r_0440,17662.64,19.6,1
txn_100,2026-01-02,r_0454,45741.76,16.0,0
txn_101,2026-01-02,r_0462,10286.0,15.9,0
txn_102,2026-01-02,r_0463,44896.62,15.2,0
txn_103,2026-01-02,r_0472,27703.01,22.9,1
txn_104,2026-01-02,r_0481,22489.43,5.4,1
txn_105,2026-01-02,r_0489,22943.15,20.8,1
txn_106,2026-01-02,r_0491,17108.71,10.9,0
txn_107,2026-01-03,r_0008,14055.61,9.0,1
